"","country","risk.2024and2025.from2023","rank.2024and2025.from2023","risk.2024only.from2023","riskrank.2024only.from2023","risk.2023and2024.from2022","rank.2023and2024.from2022","year","widetargeting","narrowtargeting","womencivsoc","govcensorship","partyban.new.0","partyban.new.1","partyban.new.2","minorityrule","judicialreform","religiousfreedom","pol_killing_approved","freediscussion","social_inequality","even_civilrights","repress_civilsoc","social_power_dist","ses_power_dist","wdi.popsize.log2.combined","wdi.gdppcgrow.new.combined","wdi.trade.new.log2.combined","imr.fwd.fill.sqrt","efindex","discrimpop","reg.na","reg.eap","reg.sca","reg.mna","ios.iccpr1","battledeaths.ln2","coup.try.5yr","mk_ongoing_count_log","mean_mk_onset","mk_onset_prev_year","newcountry","mk_ever","year_sq","countryage_new_ln","includesnonstate","ccode","year_l1","year_sq_l1"
"40","Nepal",0.02141,40,0.01042,42,0.02241,40,2023,0,0,0,0,0,0,1,0,1,3,0,0.842,0,0,0,0,0.836,24.88,1.953,5.38,4.506,0.86,0,0,0,1,0,0,0,0,0,0.02222,0,0,1,4093000,7.7,1,790,2022,4088000
"41","Syria",0.02102,41,0.01561,24,0.03459,20,2023,1,0,0,1,1,0,0,1,0,1,0,0.073,1,0,0,1,-2.162,24.47,-4.427,6.613,4.49,0.213,0,0,0,0,1,0,10.56,0,1.585,0.03846,0,0,1,4093000,6.285,1,652,2022,4088000
"42","Tanzania/Tanganyika",0.02079,42,0.01067,41,0.02113,41,2023,0,0,0,0,0,0,1,0,1,3,0,0.878,0,0,0,0,0.891,26.01,5.188,5.239,5.18,0.591,0,0,0,0,0,0,0,0,0,0.01587,0,0,1,4093000,5.977,1,510,2022,4088000
"43","Eritrea",0.01966,43,0.009263,47,0.0117,60,2023,0,0,1,1,1,0,0,1,1,1,1,0.103,0,0,1,1,0.472,21.84,5,-1.751,5.314,0.659,0.11,0,0,0,0,0,0,0,0,0,0,0,1,4093000,4.954,1,531,2022,4088000
"44","Cameroon",0.01948,44,0.01261,31,0.02094,42,2023,0,0,0,1,0,0,1,1,1,4,0,0.696,0,0,0,1,-0.393,24.77,3.993,5.271,7.148,0.86,0,0,0,0,0,0,8.492,0,0,0,0,0,0,4093000,5.977,1,471,2022,4088000
"45","Sierra Leone",0.01898,45,0.01017,43,0.02045,43,2023,0,0,0,0,0,0,1,0,1,4,0,0.881,0,0,0,0,1.041,23.07,3.431,6.752,8.715,0.801,0,0,0,0,0,0,0,0,0,0.01587,0,0,1,4093000,5.977,1,451,2022,4088000
"46","Algeria",0.01894,46,0.009504,45,0.02002,44,2023,0,0,0,1,0,0,1,0,1,1,0,0.536,0,0,0,1,1.037,25.44,4.1,5.53,4.128,0.372,0,0,0,0,1,0,0,0,0,0.03226,0,0,1,4093000,5.954,1,615,2022,4088000
"47","Burundi",0.01681,47,0.007447,53,0.01078,64,2023,0,0,0,1,0,1,0,1,1,4,1,0.189,0,1,0,1,0.759,23.66,2.7,4.887,5.797,0.308,0,0,0,0,0,0,6.539,0,0,0.03226,0,0,1,4093000,5.954,1,516,2022,4088000
"48","Guinea-Bissau",0.0163,48,0.009078,48,0.01751,45,2023,0,0,0,1,0,0,1,1,1,4,0,0.748,0,0,0,1,-0.249,21.04,4.248,5.529,6.654,0.808,0,0,0,0,0,0,0,1,0,0,0,0,0,4093000,5.644,1,404,2022,4088000
"49","Liberia",0.01527,49,0.00839,49,0.01689,46,2023,0,0,0,0,0,0,1,0,1,4,0,0.943,0,0,0,0,0.623,22.37,4.711,-0.9375,6.778,0.889,0,0,0,0,0,0,0,0,0,0.02222,0,0,1,4093000,7.468,1,450,2022,4088000
