"","ewp_name","risk.2024and2025.from2023","rank.2024and2025.from2023","risk.2024only.from2023","riskrank.2024only.from2023","risk.2023and2024.from2022","rank.2023and2024.from2022","widetargeting","narrowtargeting","v2csgender_binary","v2mecenefm_binary","partyban.new.0","partyban.new.1","partyban.new.2","minorityrule","judicialreform","religiousfreedom","pol_killing_approved","freediscussion","social_inequality","even_civilrights","repress_civilsoc","social_power_dist","ses_power_dist","wdi.popsize.log2","gdppcgrowth.combined","tradeshare.log2.combined","imr.fwd.fill.sqrt","efindex","discrimpop","reg.na","reg.eap","reg.sca","reg.mna","reg.eur","ios.iccpr1","battledeaths.ln2","coup.try.5yr","mk_ongoing_count_log","mean_mk_onset_interaction","mk_onset_prev_year","newcountry","mk_ever","year_sq","year","countryage_new_ln","includesnonstate","ccode"
"45","Nepal",0.02106,45,0.01203,41,0.02199,42,0,0,0,0,0,0,1,0,1,3,0,0.842,0,0,0,0,0.836,24.88,0.8009,5.38,4.68,0.86,0,0,0,1,0,0,1,0,0,0,2,0,0,1,4093000,2023,7.7,1,790
"46","Algeria",0.01882,46,0.01003,52,0.01967,43,0,0,0,1,0,0,1,0,1,1,0,0.536,0,0,0,1,1.037,25.44,2.495,5.53,4.219,0.372,0,0,0,0,1,0,1,0,0,0,2,0,0,1,4093000,2023,5.954,1,615
"47","Kenya",0.0188,47,0.01229,40,0.01895,47,0,0,0,0,0,0,1,0,1,4,0,0.92,0,0,0,0,1.048,25.72,3.373,5.019,5.445,0.855,0.06,0,0,0,0,0,0,7.622,0,0,0,0,0,0,4093000,2023,5.931,1,501
"48","Liberia",0.01864,48,0.0109,49,0.0196,44,0,0,0,0,0,0,1,0,1,4,0,0.943,0,0,0,0,0.623,22.37,2.475,-0.9375,7.479,0.889,0,0,0,0,0,0,0,0,0,0,2,0,0,1,4093000,2023,7.468,1,450
"49","Guinea-Bissau",0.01856,49,0.01117,47,0.01954,45,0,0,0,1,0,0,1,1,1,4,0,0.748,0,0,0,1,-0.249,21.04,2.054,5.529,6.995,0.808,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4093000,2023,5.644,1,404
"50","Sierra Leone",0.0177,50,0.01093,48,0.01928,46,0,0,0,0,0,0,1,0,1,4,0,0.881,0,0,0,0,1.041,23.07,1.25,6.752,8.463,0.801,0,0,0,0,0,0,1,0,0,0,1,0,0,1,4093000,2023,5.977,1,451
"51","Gabon",0.01737,51,0.009685,54,0.01796,49,0,0,0,1,0,0,1,1,1,4,0,0.945,0,0,0,1,0.6,21.22,0.2665,6.212,5.241,0.789,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4093000,2023,5.883,1,481
"52","Democratic Republic of Vietnam",0.01715,52,0.01049,50,0.01796,48,0,0,0,1,1,0,0,1,1,1,0,0.328,0,0,1,1,1.158,26.56,4.332,7.522,3.882,0.263,0,0,1,0,0,0,0,0,0,0,2,0,0,1,4093000,2023,6.129,1,816
"53","Zimbabwe",0.01694,53,0.00771,63,0.0175,50,0,0,0,1,0,0,1,1,1,4,1,0.262,0,1,0,1,-1.632,23.99,2.784,6.021,5.762,0.415,0.01,0,0,0,0,0,0,0,0,0,2,0,0,1,4093000,2023,5.883,1,552
"54","Papua New Guinea",0.01628,54,0.01006,51,0.01677,51,0,0,0,0,0,0,1,0,1,4,0,0.86,0,0,0,0,0.759,23.3,0.8191,-2.082,5.67,0.27,0,0,1,0,0,0,0,0,0,0,1,0,0,1,4093000,2023,5.615,1,910
