"","ewp_name","risk.2024and2025.from2023","rank.2024and2025.from2023","risk.2024only.from2023","riskrank.2024only.from2023","risk.2023and2024.from2022","rank.2023and2024.from2022","widetargeting","narrowtargeting","womencivsoc","govcensorship","partyban.new.0","partyban.new.1","partyban.new.2","minorityrule","judicialreform","religiousfreedom","pol_killing_approved","freediscussion","social_inequality","even_civilrights","repress_civilsoc","social_power_dist","ses_power_dist","wdi.popsize.log2.combined","wdi.gdppcgrow.new.combined","wdi.trade.new.log2.combined","un_imr_sqrt","efindex","discrimpop","reg.na","reg.eap","reg.sca","reg.mna","reg.eur","ios.iccpr1","battledeaths.ln2","coup.try.5yr","mk_ongoing_count_log","mean_mk_onset","mk_onset_prev_year","newcountry","mk_ever","year_sq","countryage_new_ln","includesnonstate","ccode","year"
"41","Eritrea",0.02284,41,0.01351,33,0.01472,56,0,0,1,1,1,0,0,1,1,1,1,0.103,0,0,1,1,0.472,21.84,5,-1.751,5.205,0.659,0.11,0,0,0,0,0,0,0,0,0,0,0,0,1,4093000,4.954,1,531,2023
"42","Malawi",0.0228,42,0.01189,43,0.02351,39,0,0,0,0,0,0,1,0,1,4,0,0.784,0,0,0,1,-0.69,24.32,-1.014,-1.375,5.436,0.791,0,0,0,0,0,0,1,0,0,0,0.01667,0,0,1,4093000,5.907,1,553,2023
"43","Tanzania",0.02208,43,0.01159,46,0.02236,41,0,0,0,0,0,0,1,0,1,3,0,0.878,0,0,0,0,0.891,26.01,1.527,5.239,5.378,0.591,0,0,0,0,0,0,0,0,0,0,0.01587,0,0,1,4093000,5.977,1,510,2023
"44","Cameroon",0.02103,44,0.01412,30,0.02316,40,0,0,0,1,0,0,1,1,1,4,0,0.696,0,0,0,1,-0.393,24.77,1.333,5.271,6.885,0.86,0,0,0,0,0,0,1,8.492,0,0,0,0,0,0,4093000,5.977,1,471,2023
"45","Nepal",0.02094,45,0.01219,41,0.02194,42,0,0,0,0,0,0,1,0,1,3,0,0.842,0,0,0,0,0.836,24.88,0.8009,5.38,4.68,0.86,0,0,0,1,0,0,1,0,0,0,0.03125,0,0,1,4093000,7.7,1,790,2023
"46","Algeria",0.01894,46,0.01023,53,0.01976,43,0,0,0,1,0,0,1,0,1,1,0,0.536,0,0,0,1,1.037,25.44,2.495,5.53,4.219,0.372,0,0,0,0,1,0,1,0,0,0,0.03226,0,0,1,4093000,5.954,1,615,2023
"47","Liberia",0.01866,47,0.01115,49,0.01965,44,0,0,0,0,0,0,1,0,1,4,0,0.943,0,0,0,0,0.623,22.37,2.475,-0.9375,7.479,0.889,0,0,0,0,0,0,0,0,0,0,0.03125,0,0,1,4093000,7.468,1,450,2023
"48","Kenya",0.01854,48,0.01262,38,0.01885,47,0,0,0,0,0,0,1,0,1,4,0,0.92,0,0,0,0,1.048,25.72,3.373,5.019,5.445,0.855,0.06,0,0,0,0,0,0,7.622,0,0,0,0,0,0,4093000,5.931,1,501,2023
"49","Guinea-Bissau",0.01842,49,0.01148,47,0.01949,45,0,0,0,1,0,0,1,1,1,4,0,0.748,0,0,0,1,-0.249,21.04,2.054,5.529,6.995,0.808,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4093000,5.644,1,404,2023
"50","Sierra Leone",0.0178,50,0.01138,48,0.01937,46,0,0,0,0,0,0,1,0,1,4,0,0.881,0,0,0,0,1.041,23.07,1.25,6.752,8.463,0.801,0,0,0,0,0,0,1,0,0,0,0.01587,0,0,1,4093000,5.977,1,451,2023
"51","Democratic Republic of Vietnam",0.01737,51,0.01074,50,0.0181,48,0,0,0,1,1,0,0,1,1,1,0,0.328,0,0,1,1,1.158,26.56,4.332,7.522,3.882,0.263,0,0,1,0,0,0,0,0,0,0,0.03125,0,0,1,4093000,6.129,1,816,2023
"52","Gabon",0.0172,52,0.00996,54,0.0179,49,0,0,0,1,0,0,1,1,1,4,0,0.945,0,0,0,1,0.6,21.22,0.2665,6.212,5.241,0.789,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4093000,5.883,1,481,2023
"53","Zimbabwe",0.01703,53,0.008018,63,0.01759,50,0,0,0,1,0,0,1,1,1,4,1,0.262,0,1,0,1,-1.632,23.99,2.784,6.021,5.762,0.415,0.01,0,0,0,0,0,0,0,0,0,0.0339,0,0,1,4093000,5.883,1,552,2023
"54","Papua New Guinea",0.01638,54,0.01031,52,0.01686,51,0,0,0,0,0,0,1,0,1,4,0,0.86,0,0,0,0,0.759,23.3,0.8191,-2.082,5.67,0.27,0,0,1,0,0,0,0,0,0,0,0.02041,0,0,1,4093000,5.615,1,910,2023
"55","Mauritania",0.01479,55,0.008077,62,0.01573,53,0,0,0,0,0,1,0,1,1,1,0,0.78,1,0,0,1,-0.82,22.21,0.6868,6.59,5.548,0.713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,6,1,435,2023
