"","ewp_name","risk.2024and2025.from2023","rank.2024and2025.from2023","risk.2024only.from2023","riskrank.2024only.from2023","risk.2023and2024.from2022","rank.2023and2024.from2022","widetargeting","narrowtargeting","womencivsoc","govcensorship","partyban.new.0","partyban.new.1","partyban.new.2","minorityrule","judicialreform","religiousfreedom","pol_killing_approved","freediscussion","social_inequality","even_civilrights","repress_civilsoc","social_power_dist","ses_power_dist","wdi.popsize.log2.combined","wdi.gdppcgrow.new.combined","wdi.trade.new.log2.combined","un_imr_sqrt","efindex","discrimpop","reg.na","reg.eap","reg.sca","reg.mna","ios.iccpr1","battledeaths.ln2","coup.try.5yr","mk_ongoing_count_log","mean_mk_onset","mk_onset_prev_year","newcountry","mk_ever","year_sq","countryage_new_ln","includesnonstate","ccode","year"
"24","Egypt",0.03066,24,0.01408,30,0.04116,18,0,0,1,1,0,1,0,0,1,2,0,0.129,0,0,0,1,-0.306,26.75,2.17,5.338,3.815,0.041,0,0,0,0,1,0,0,0,0,0.01562,0,0,1,4093000,6.672,1,651,2023
"25","Rwanda",0.03005,25,0.0174,26,0.0285,30,0,0,0,1,0,1,0,1,1,3,0,0.156,0,0,0,1,-0.561,23.75,5.799,6.044,5.245,0.28,0,0,0,0,0,0,7.055,0,0,0.06452,0,0,1,4093000,5.954,1,517,2023
"26","Somalia",0.02866,26,0.02207,16,0.03417,25,1,0,1,1,0,0,1,0,1,2,0,0.69,0,0,0,0,-0.098,24.11,0.000976,6.563,8.141,0.222,0,0,0,0,0,0,11.91,0,1,0.04688,0,0,1,4093000,6,1,520,2023
"27","Mozambique",0.02779,27,0.01914,19,0.02797,33,0,0,0,1,0,0,1,0,1,4,0,0.584,0,0,0,0,1.128,25.01,2.126,-0.6126,7.053,0.69,0,0,0,0,0,0,7.468,0,0,0.02041,0,0,1,4093000,5.615,1,541,2023
"28","Angola",0.02772,28,0.01319,34,0.03375,26,0,0,0,0,0,0,1,0,1,3,0,0.637,0,0,0,1,-0.313,25.13,-2.155,6.056,6.974,0.779,0,0,0,0,0,0,0,0,0,0.02041,0,0,1,4093000,5.615,1,540,2023
"29","Uganda",0.02701,29,0.01246,38,0.03243,28,0,0,0,1,0,0,1,1,1,3,0,0.51,0,0,0,1,-0.211,25.53,2.345,5.218,5.367,0.883,0.059,0,0,0,0,0,0,0,0,0.04839,0,0,1,4093000,5.954,1,500,2023
"30","Republic of Congo",0.02694,30,0.01205,43,0.02803,32,0,0,0,1,0,0,1,0,1,3,1,0.114,0,0,0,1,-0.189,22.54,-0.37,6.588,5.368,0.704,0,0,0,0,0,0,0,0,0,0.04688,0,0,1,4093000,6,1,484,2023
"31","Central African Republic",0.0267,31,0.0174,25,0.04715,17,1,0,0,1,0,0,1,0,0,4,0,0.312,0,0,0,1,0.604,22.45,-1.996,5.442,8.276,0.79,0,0,0,0,0,0,8.033,0,1,0.01562,0,0,1,4093000,6,1,482,2023
"32","China",0.02664,32,0.0138,32,0.02846,31,0,0,0,1,1,0,0,1,1,0,0,0.087,1,0,0,1,-0.188,30.39,5.309,5.222,2.259,0.19,0.0134,0,1,0,0,0,0,0,0,0.04688,0,0,1,4093000,7.7,1,710,2023
"33","Ivory Coast",0.02644,33,0.01275,36,0.02762,35,0,0,0,0,0,0,1,0,1,4,0,0.684,0,0,0,1,0.031,24.78,3.907,5.629,7.187,0.731,0,0,0,0,0,0,0,0,0,0.01562,0,0,1,4093000,6,1,437,2023
"34","Laos",0.02558,34,0.01482,28,0.0277,34,0,0,0,1,1,0,0,1,1,2,1,0.062,0,0,0,1,-0.085,22.86,2.328,-0.4316,5.632,0.634,0.08,0,1,0,0,0,0,0,0,0.03125,0,0,1,4093000,6.229,1,812,2023
"35","South Africa",0.02434,35,0.01173,44,0.02542,36,0,0,0,0,0,0,1,0,1,4,0,0.834,0,0,0,1,1.294,25.85,-0.2653,6.038,5.277,0.856,0,0,0,0,0,0,0,0,0,0.01562,0,0,1,4093000,6.833,1,560,2023
"36","Malawi",0.02403,36,0.01211,42,0.02457,39,0,0,0,0,0,0,1,0,1,4,0,0.784,0,0,0,1,-0.69,24.32,-1.014,-1.375,5.436,0.791,0,0,0,0,0,0,0,0,0,0.01667,0,0,1,4093000,5.907,1,553,2023
