"","ewp_name","risk.2024and2025.from2023","rank.2024and2025.from2023","risk.2024only.from2023","riskrank.2024only.from2023","risk.2023and2024.from2022","rank.2023and2024.from2022","widetargeting","narrowtargeting","v2csgender_binary","v2mecenefm_binary","partyban.new.0","partyban.new.1","partyban.new.2","minorityrule","judicialreform","religiousfreedom","pol_killing_approved","freediscussion","social_inequality","even_civilrights","repress_civilsoc","social_power_dist","ses_power_dist","popsize.log2","gdppcgrowth","un_imr_sqrt","efindex","discrimpop","reg.na","reg.eap","reg.sca","reg.mna","reg.eur","ios.iccpr1","battledeaths.log2","coup.try.5yr","mk_ongoing_count_log2","mean_mk_onset_interaction","mk_onset_prev_year","newcountry","mk_ever","year_sq","year","countryage.new.log2","includesnonstate","ccode"
"58","Colombia",0.01345,58,0.00896,52,0.01531,55,0,0,0,0,0,0,1,0,1,4,0,0.754,0,0,0,1,0.609,25.63,0.2043,3.136,0.639,0,1,0,0,0,0,1,6.459,0,0,2,0,0,1,4093000,2023,7.6,1,100
"59","Equatorial Guinea",0.01274,59,0.007335,58,0.01459,56,0,0,1,1,0,1,0,1,1,3,0,0.299,0,0,0,1,-0.998,20.71,-7.879,7.273,0.35,0.115,0,0,0,0,0,1,0,0,0,0,0,0,0,4093000,2023,5.807,1,411
"60","Morocco",0.01268,60,0.006766,61,0.0135,60,0,0,0,1,0,0,1,0,2,1,0,0.635,0,0,0,1,-0.398,25.17,0.2155,3.785,0.566,0.016,0,0,0,1,0,1,0,0,0,0,0,0,0,4093000,2023,6.087,1,600
"61","Bahrain",0.01245,61,0.006138,68,0.00818,83,0,0,0,1,0,1,0,1,1,2,0,0.252,1,0,0,1,-1.806,20.5,1.566,2.309,0.582,0.35,0,0,0,1,0,0,0,0,0,0,0,0,0,4093000,2023,5.728,1,692
"62","Kyrgystan",0.01193,62,0.006615,63,0.01323,61,0,0,0,1,0,0,1,0,1,3,0,0.679,0,0,0,1,-0.098,22.76,4.269,3.777,0.487,0.138,0,0,1,0,0,1,0,0,0,0,0,0,0,4093000,2023,5.044,1,703
"63","Senegal",0.01133,63,0.006322,66,0.004559,113,0,0,0,0,0,1,0,0,1,4,0,0.901,0,0,0,0,1.137,24.08,1.092,4.914,0.747,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4093000,2023,6,1,433
"64","Togo",0.01106,64,0.007211,60,0.01305,62,0,0,0,1,0,0,1,0,1,4,0,0.406,0,0,0,0,0.37,23.11,3.997,6.431,0.88,0,0,0,0,0,0,1,4.755,0,0,0,0,0,0,4093000,2023,6,1,461
"65","Ukraine",0.01034,65,0.006639,62,0.01419,58,0,0,0,1,0,1,0,0,1,3,0,0.689,0,0,0,0,-0.505,25.14,-17.13,2.428,0.37,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4093000,2023,5.044,1,369
"66","Peru",0.01031,66,0.006121,69,0.01143,69,0,0,0,0,0,0,1,0,1,4,0,0.921,0,0,0,1,0.366,25.03,-1.428,3.419,0.618,0,1,0,0,0,0,1,0,0,0,1,0,0,1,4093000,2023,7.644,1,135
"67","Georgia",0.01021,67,0.005941,71,0.01143,68,0,0,0,0,0,0,1,0,1,3,0,0.794,0,0,0,1,0.338,21.84,6.107,2.853,0.367,0,0,0,0,0,1,1,0,0,0,1,0,0,1,4093000,2023,5.044,1,372
"68","Uzbekistan",0.01015,68,0.006331,65,0.01198,65,0,0,0,1,1,0,0,1,1,2,0,0.413,0,0,0,1,-0.317,25.12,3.764,3.337,0.313,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4093000,2023,5.044,1,704
"69","Zambia",0.01012,69,0.005968,70,0.01155,67,0,0,0,0,0,0,1,0,1,4,0,0.887,0,0,0,0,1.095,24.29,2.992,6.184,0.706,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4093000,2023,5.907,1,551
"70","Lebanon",0.01006,70,0.005357,75,0.01062,73,0,0,0,0,0,0,1,0,1,4,0,0.676,0,0,0,1,-0.961,22.35,2.383,3.964,0.133,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,4093000,2023,6.322,1,660
"71","North Korea",0.01003,71,0.005366,74,0.01181,66,1,0,1,1,1,0,0,1,1,0,1,0.018,0,1,1,1,-0.979,24.64,-0.4186,3.813,0.02,0,0,1,0,0,0,0,0,0,1,1,0,0,1,4093000,2023,6.248,1,731
"72","Nicaragua",0.009947,72,0.006171,67,0.01245,63,0,0,0,1,1,0,0,1,0,1,1,0.025,1,0,0,1,-1.261,22.75,3.117,3.502,0.544,0,1,0,0,0,0,1,0,0,0,2,0,0,1,4093000,2023,7.524,1,93
"73","Bosnia and Herzegovina",0.009662,73,0.00575,72,0.01085,72,0,0,0,1,0,0,1,0,1,4,0,0.72,0,0,0,1,0.818,21.61,2.394,2.308,0.637,0.01,0,0,0,0,1,1,0,0,0,0,0,0,1,4093000,2023,5,1,346
"74","Djibouti",0.009661,74,0.005291,76,0.01112,70,0,0,0,1,0,1,0,0,1,3,0,0.53,0,0,0,1,-0.461,20.12,5.212,6.025,0.649,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4093000,2023,5.555,1,522
"75","Azerbaijan",0.008626,75,0.006357,64,0.009926,75,0,0,0,1,0,0,1,1,1,2,0,0.354,0,1,0,1,-1.709,23.27,1.416,3.866,0.122,0,0,0,0,0,1,1,8.855,0,0,1,0,0,1,4093000,2023,5.044,1,373
"76","Brazil",0.008325,76,0.004772,79,0.01016,74,0,0,0,0,0,0,1,0,1,4,0,0.869,0,0,0,0,0.312,27.69,2.381,3.472,0.559,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4093000,2023,7.658,1,140
