"","country","risk.2023and2024.from2022","rank.2023and2024.from2022","risk.2023only.from2022","riskrank.2023only.from2022","risk.2022and2023.from2021","rank.2022and2023.from2021","mean_mk_onset","mk_onset_prev_year","year","year_sq","mk_ever","mk_ongoing_count_log","newcountry","widetargeting","narrowtargeting","reg.afr","reg.eap","reg.eur","reg.mna","reg.sca","countryage_new_ln","wdi.popsize.log2","gdppcgrowth.combined","ios.iccpr1","includesnonstate","minorityrule","battledeaths.ln2","judicialreform","religiousfreedom","pol_killing_approved","freediscussion","social_inequality","even_civilrights","repress_civilsoc","social_power_dist","ses_power_dist","tradeshare.log2.combined","coup.try.5yr","efindex","discrimpop","partyban.new.0","partyban.new.1","partyban.new.2","v2csgender_binary","v2mecenefm_binary","imr.fwd.fill.sqrt","ccode","year_l1","year_sq_l1"
"52","Zimbabwe (Rhodesia)",0.008884,52,0.005938,56,0.01578,42,0.0350877192982456,0,2022,4088484,1,0,0,0,0,1,0,0,0,0,5.85798099512757,23.9601851917716,0.0393591444833831,0,1,1,0,0,4,1,0.213,0,1,0,1,-0.983,-3.21584649294622,0,0.415,0.01,0,0,1,0,1,6.32104349578679,552,2021,4084441
"53","Azerbaijan",0.00888,53,0.005678,60,0.00876,56,0.032258064516129,0,2022,4088484,1,0,0,0,0,0,0,1,0,0,5,23.2785277273126,0.0373144285583791,1,1,1,8.27146302790438,1,2,0,0.343,0,0,0,1,-1.772,-2.52209262378384,0,0.122,0,0,0,1,0,1,3.76688472976233,373,2021,4084441
"54","Colombia",0.008069,54,0.008124,45,0.01009,51,0.025974025974026,0,2022,4088484,1,0,0,0,0,0,0,0,0,0,6.28540221886225,25.6285089517781,0.078008734922975,1,1,0,6.20945336562895,1,4,0,0.697,0,0,0,1,-0.024,-3.44942036221188,0,0.639,0,0,0,1,0,0,3.30046752543545,100,2021,4084441
"55","Papua New Guinea",0.007965,55,0.006136,52,0.008008,58,0.0212765957446809,0,2022,4088484,1,0,0,0,0,0,1,0,0,0,5.58496250072116,23.2739268935196,0.00369774783459106,0,1,0,0,1,4,0,0.919,0,0,0,0,1.076,-1.1064319332302,0,0.27,0,0,0,1,0,0,5.91479437358905,910,2021,4084441
"56","Jordan",0.007377,56,0.005507,61,0.006599,64,0.0135135135135135,0,2022,4088484,1,0,0,0,0,0,0,0,1,0,6.22881869049588,23.4280141730135,0.00951719144168181,0,1,1,0,1,2,0,0.626,0,1,0,1,0.585,-2.54522960340704,0,0.044,0.5,0,0,1,0,1,3.6103760264541,663,2021,4084441
"57","Madagascar",0.006959,57,0.005259,63,0.007367,59,0,0,2022,4088484,0,0,0,0,0,1,0,0,0,0,5.97727992349992,24.8196646639379,0.0274943698250686,1,1,0,0,1,4,0,0.703,0,0,0,1,-0.47,-2.84200054637864,0,0.194,0,0,0,1,0,0,5.88665637142686,580,2021,4084441
"58","Guinea-Bissau",0.006939,58,0.006057,54,0.003763,75,0,0,2022,4088484,0,0,0,0,0,1,0,0,0,0,5.61470984411521,21.0057766675243,0.0225557342608811,1,1,0,0,1,4,0,0.691,0,0,0,1,-0.236,-3.62177224140744,1,0.808,0,0,0,1,0,1,6.73893848467183,404,2021,4084441
"59","Haiti",0.00673,59,0.007373,51,0.006131,65,0.025974025974026,0,2022,4088484,1,0,0,0,0,0,0,0,0,0,6.28540221886225,23.465754210289,-0.023344903227395,0,1,1,0,1,4,0,0.656,0,0,0,1,-0.911,-3.90469263149664,0,0.105,0,0,0,1,0,1,6.61900681367517,41,2021,4084441
"60","Malaysia",0.006692,60,0.004692,67,0.006904,61,0,0,2022,4088484,0,0,0,0,0,0,1,0,0,0,6.04439411935845,25.0164076067661,0.0170835396534907,0,1,1,0,1,2,0,0.719,0,0,0,1,0.501,-1.75787737050011,0,0.57,0,0,0,1,0,1,2.40674377908851,820,2021,4084441
"61","Zambia",0.006675,61,0.00514,64,0.007175,60,0,0,2022,4088484,0,0,0,0,0,1,0,0,0,0,5.88264304936184,24.2547710829031,0.0206930007102854,1,1,0,0,1,4,0,0.888,0,0,0,0,1.129,-2.97314736954098,0,0.706,0,0,0,1,0,0,5.87883308333238,551,2021,4084441
